Taxon	Gene	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
Dbia	DB10_00003327	0.1354	0.4688	0.0693	0.5408	0.268	0.479	0.661	35.85	0.831	0.640	118	124	-0.604839	0.072581
Dsuz	DS10_00000017	0.1667	0.3958	0.0792	0.5714	0.265	0.375	0.593	40.41	0.797	0.634	118	124	-0.584677	0.072581
Dtak	DT10_00009939	0.1458	0.4167	0.0900	0.5670	0.274	0.412	0.619	35.11	0.805	0.634	118	124	-0.541129	0.080645
Dmel	FBpp0087491	0.2165	0.3608	0.1980	0.4286	0.287	0.259	0.517	44.06	0.653	0.583	118	124	-0.508871	0.072581
Dbia	DB10_00010627	0.1346	0.6065	0.0700	0.5469	0.295	0.511	0.698	37.29	0.847	0.585	917	950	-1.165895	0.072632
Dsuz	DS10_00005763	0.2149	0.5324	0.1147	0.4909	0.291	0.378	0.615	42.92	0.753	0.552	991	1024	-1.218066	0.063477
Dtak	DT10_00002817	0.1792	0.5528	0.1123	0.5177	0.278	0.416	0.638	41.80	0.783	0.559	976	1008	-1.259425	0.063492
Dmel	FBpp0073822	0.2163	0.5100	0.1543	0.4745	0.285	0.344	0.594	44.68	0.723	0.543	942	974	-1.241786	0.067762
Dbia	DB10_00006348	0.2264	0.4409	0.2077	0.3927	0.241	0.247	0.513	51.58	0.652	0.541	1327	1369	-0.522060	0.065011
Dsuz	DS10_00011243	0.2417	0.4330	0.2198	0.3755	0.238	0.217	0.495	52.86	0.631	0.533	1266	1307	-0.542999	0.065800
Dtak	DT10_00006388	0.2409	0.4246	0.2053	0.3992	0.241	0.216	0.492	52.27	0.642	0.537	1309	1356	-0.521239	0.065634
Dmel	FBpp0082005	0.2970	0.3722	0.2775	0.3223	0.228	0.097	0.417	58.40	0.541	0.500	1306	1354	-0.520901	0.066470
Dbia	DB10_00000800	0.2643	0.3978	0.2005	0.3926	0.231	0.177	0.464	52.83	0.624	0.556	1892	1927	-0.870317	0.043072
Dsuz	DS10_00004255	0.3023	0.3646	0.2301	0.3594	0.223	0.124	0.430	54.06	0.569	0.531	1960	1993	-0.833216	0.044656
Dtak	DT10_00003110	0.3384	0.3338	0.2629	0.3239	0.212	0.056	0.386	55.03	0.516	0.511	1914	1946	-0.839568	0.042138
Dmel	FBpp0072769	0.3104	0.3340	0.2598	0.3554	0.213	0.082	0.404	55.92	0.540	0.522	1897	1933	-0.823332	0.043456
Dsuz	DS10_00002699	0.3002	0.3996	0.2712	0.3808	0.239	0.161	0.483	55.84	0.567	0.491	675	709	-0.662200	0.097320
Dbia	DB10_00008078	0.1929	0.4961	0.2023	0.4625	0.250	0.319	0.578	47.33	0.699	0.538	678	709	-0.638223	0.097320
Dtak	DT10_00001815	0.3115	0.3829	0.2712	0.3866	0.226	0.136	0.467	53.85	0.559	0.491	675	709	-0.675317	0.097320
Dmel	FBpp0072070	0.2040	0.5050	0.1699	0.4729	0.255	0.342	0.594	47.28	0.716	0.550	673	708	-0.701695	0.100282
Dbia	DB10_00011109	0.4282	0.2167	0.4472	0.2006	0.187	-0.196	0.239	55.72	0.313	0.394	473	492	-0.288821	0.087398
Dsuz	DS10_00012897	0.3994	0.2308	0.4272	0.2416	0.180	-0.145	0.268	59.12	0.351	0.393	407	421	-0.150119	0.085511
Dtak	DT10_00011941	0.4232	0.2259	0.4245	0.2147	0.178	-0.175	0.254	53.71	0.333	0.400	555	574	-0.256097	0.090592
Dmel	FBpp0289202	0.4261	0.2087	0.4303	0.2342	0.176	-0.175	0.256	55.37	0.329	0.390	550	564	-0.159574	0.101064
Dsuz	DS10_00002698	0.2866	0.3811	0.2797	0.3426	0.207	0.139	0.445	55.44	0.552	0.479	391	404	-0.536139	0.054455
Dbia	DB10_00008079	0.2686	0.3819	0.2204	0.4241	0.230	0.228	0.504	49.85	0.613	0.503	393	404	-0.491832	0.054455
Dtak	DT10_00001816	0.3158	0.3520	0.2774	0.3462	0.204	0.109	0.428	56.72	0.531	0.469	388	401	-0.525436	0.052369
Dmel	FBpp0072104	0.2157	0.4346	0.2476	0.4021	0.229	0.250	0.521	47.66	0.634	0.505	388	400	-0.491000	0.057500
Dsuz	DS10_00012044	0.1853	0.4402	0.2246	0.4719	0.266	0.310	0.571	50.56	0.686	0.556	350	362	-0.664365	0.082873
Dbia	DB10_00007492	0.1699	0.4517	0.2250	0.4723	0.260	0.334	0.585	46.37	0.696	0.561	352	362	-0.683978	0.088398
Dtak	DT10_00010141	0.1439	0.4735	0.1211	0.5821	0.299	0.434	0.648	42.05	0.798	0.606	361	370	-0.725946	0.083784
Dmel	FBpp0082644	0.2397	0.3933	0.2355	0.4453	0.275	0.224	0.517	53.14	0.634	0.545	352	363	-0.614601	0.085399
Dtak	DT10_00011923	0.4583	0.2708	0.5443	0.0694	0.190	-0.239	0.237	41.96	0.263	0.375	118	120	-1.229167	0.108333
Dbia	DB10_00011306	0.4421	0.2842	0.4691	0.1571	0.217	-0.138	0.297	54.32	0.322	0.381	118	120	-1.145833	0.100000
Dsuz	DS10_00012271	0.3871	0.2581	0.5283	0.2045	0.151	-0.208	0.260	61.00	0.325	0.359	77	78	-0.996154	0.102564
Dmel	FBpp0289201	0.4891	0.2391	0.5217	0.1587	0.196	-0.247	0.248	52.68	0.283	0.351	113	116	-1.343104	0.112069
Dsuz	DS10_00012849	0.2424	0.4773	0.1595	0.4481	0.310	0.308	0.562	47.91	0.686	0.543	322	331	-0.480060	0.120846
Dbia	DB10_00000065	0.1828	0.5248	0.1317	0.4968	0.306	0.414	0.632	42.28	0.756	0.558	468	483	-0.467702	0.120083
Dtak	DT10_00010852	0.2250	0.4852	0.1244	0.5007	0.281	0.375	0.609	43.86	0.729	0.550	1102	1141	-0.470377	0.107800
Dmel	FBpp0073073	0.2533	0.4125	0.1988	0.4836	0.276	0.232	0.519	50.22	0.652	0.516	468	483	-0.422153	0.118012
Dmel	FBpp0070390	0.1047	0.5116	0.1807	0.4125	0.217	0.270	0.525	46.66	0.762	0.579	101	107	0.201869	0.065421
Dbia	DB10_00004832	0.1300	0.4600	0.2075	0.4490	0.172	0.296	0.544	49.87	0.720	0.579	125	133	-0.128571	0.045113
Dsuz	DS10_00007558	0.1818	0.4156	0.2410	0.4026	0.186	0.245	0.515	50.20	0.649	0.571	97	104	-0.033654	0.048077
Dtak	DT10_00009771	0.2688	0.3548	0.2381	0.3462	0.192	0.117	0.429	55.38	0.571	0.539	105	110	0.039091	0.054545
Dmel	FBpp0076183	0.2835	0.5155	0.0895	0.4615	0.295	0.466	0.672	40.22	0.719	0.578	256	260	-0.940769	0.123077
Dbia	DB10_00008759	0.1487	0.6462	0.0317	0.5278	0.330	0.669	0.797	33.47	0.863	0.626	256	260	-0.895769	0.119231
Dsuz	DS10_00001620	0.2746	0.5078	0.1053	0.4670	0.301	0.439	0.656	41.19	0.715	0.578	256	260	-0.916923	0.119231
Dtak	DT10_00007055	0.2602	0.5357	0.0802	0.4749	0.307	0.496	0.691	41.44	0.742	0.586	256	260	-0.922308	0.123077
Dsuz	DS10_00002693	0.3258	0.2921	0.3571	0.2949	0.176	0.031	0.380	57.60	0.454	0.426	108	112	0.071428	0.062500
Dbia	DB10_00008083	0.2584	0.3820	0.3059	0.3247	0.192	0.161	0.463	50.26	0.546	0.455	108	112	0.092857	0.053571
Dtak	DT10_00001820	0.2809	0.3258	0.3953	0.2597	0.170	0.029	0.370	59.27	0.454	0.423	108	112	0.116071	0.053571
Dmel	FBpp0072102	0.2759	0.3678	0.2989	0.3333	0.212	0.101	0.426	58.05	0.537	0.455	108	112	0.099107	0.053571
Dtak	DT10_00004564	0.2106	0.4179	0.1553	0.4468	0.245	0.232	0.495	46.10	0.697	0.580	1103	1145	-0.441485	0.063755
Dbia	DB10_00004698	0.1447	0.4731	0.1201	0.4984	0.258	0.349	0.571	43.18	0.781	0.612	1207	1249	-0.465733	0.064852
Dsuz	DS10_00003975	0.1655	0.4448	0.1318	0.4981	0.264	0.312	0.549	43.76	0.756	0.596	1011	1048	-0.441889	0.065840
Dmel	FBpp0290627	0.2424	0.3730	0.1985	0.4337	0.238	0.173	0.459	52.10	0.640	0.549	1141	1174	-0.479557	0.069847
Dbia	DB10_00006639	0.2881	0.3475	0.2596	0.3636	0.199	0.123	0.442	61.00	0.558	0.510	138	147	-0.414966	0.108844
Dsuz	DS10_00005228	0.3030	0.4091	0.2581	0.3220	0.210	0.090	0.427	48.92	0.561	0.494	82	89	-0.352809	0.112360
Dtak	DT10_00003368	0.2500	0.3365	0.3333	0.3196	0.176	0.040	0.373	61.00	0.524	0.495	126	140	-0.351429	0.128571
Dmel	FBpp0087796	0.2773	0.3277	0.3200	0.3711	0.192	0.040	0.393	60.20	0.536	0.490	140	149	-0.607383	0.100671
Dmel	FBpp0070391	0.3100	0.4150	0.2287	0.3407	0.306	0.179	0.484	58.80	0.580	0.510	250	259	-0.904247	0.077220
Dbia	DB10_00004835	0.2283	0.4837	0.1401	0.3947	0.286	0.294	0.545	51.92	0.700	0.566	213	218	-0.691743	0.091743
Dsuz	DS10_00007556	0.2970	0.4208	0.2634	0.3107	0.296	0.160	0.466	54.33	0.562	0.493	249	256	-0.741797	0.074219
Dtak	DT10_00009768	0.3351	0.3770	0.2514	0.3314	0.274	0.129	0.450	55.86	0.542	0.501	240	247	-0.872065	0.056680
Dsuz	DS10_00002692	0.1535	0.5207	0.1179	0.4548	0.261	0.368	0.586	42.21	0.777	0.609	556	578	-0.691868	0.081315
Dbia	DB10_00008084	0.1336	0.5364	0.1057	0.4730	0.276	0.394	0.604	40.42	0.804	0.619	570	593	-0.686003	0.079258
Dtak	DT10_00001821	0.1473	0.5145	0.1111	0.4786	0.253	0.370	0.588	40.29	0.788	0.612	556	578	-0.698097	0.081315
Dmel	FBpp0072100	0.1414	0.5177	0.1182	0.4736	0.264	0.350	0.575	42.19	0.787	0.610	555	577	-0.680763	0.081456
Dbia	DB10_00006553	0.1282	0.5833	0.0662	0.5985	0.375	0.602	0.754	36.00	0.852	0.579	203	210	-0.471429	0.090476
Dsuz	DS10_00005140	0.1154	0.5641	0.0993	0.5985	0.369	0.546	0.719	37.73	0.837	0.575	203	210	-0.471429	0.090476
Dtak	DT10_00008378	0.0705	0.6538	0.0397	0.6131	0.376	0.681	0.803	30.25	0.916	0.598	203	210	-0.471429	0.090476
Dmel	FBpp0087901	0.0779	0.6429	0.0987	0.5580	0.377	0.633	0.773	32.33	0.867	0.583	203	210	-0.468571	0.090476
Dmel	FBpp0070392	0.1818	0.5041	0.1584	0.3927	0.240	0.314	0.549	44.91	0.721	0.586	419	434	-0.640553	0.027650
Dbia	DB10_00004837	0.2322	0.4307	0.1551	0.3991	0.242	0.200	0.468	50.64	0.675	0.583	308	319	-0.405956	0.028213
Dsuz	DS10_00007555	0.2714	0.4036	0.1660	0.3739	0.236	0.192	0.463	49.10	0.631	0.565	320	332	-0.371084	0.024096
Dtak	DT10_00009766	0.1536	0.5121	0.1333	0.4427	0.259	0.351	0.574	40.96	0.765	0.604	430	444	-0.708784	0.027027
Dmel	FBpp0077331	0.1587	0.3741	0.2554	0.4806	0.242	0.225	0.502	48.58	0.667	0.595	600	607	-0.951565	0.026359
Dbia	DB10_00009027	0.1492	0.4076	0.1940	0.5282	0.281	0.338	0.575	43.38	0.727	0.616	626	633	-1.001580	0.025276
Dsuz	DS10_00001936	0.1619	0.3880	0.2138	0.5174	0.266	0.307	0.556	44.46	0.702	0.605	630	637	-1.028100	0.025118
Dtak	DT10_00002701	0.1351	0.3784	0.1806	0.5504	0.218	0.337	0.569	42.08	0.742	0.635	427	433	-0.769053	0.032333
Dtak	DT10_00001169	0.2510	0.4286	0.1972	0.4547	0.289	0.265	0.538	49.42	0.654	0.535	958	989	-0.557533	0.070779
Dbia	DB10_00003020	0.2596	0.4111	0.2140	0.4426	0.299	0.224	0.512	51.72	0.635	0.527	966	996	-0.542871	0.070281
Dsuz	DS10_00003402	0.2629	0.4095	0.2175	0.4355	0.290	0.222	0.511	52.05	0.629	0.526	965	996	-0.538052	0.070281
Dmel	FBpp0076727	0.3170	0.3528	0.2414	0.4211	0.280	0.133	0.456	54.70	0.570	0.502	963	991	-0.568718	0.070636
Dbia	DB10_00006343	0.2512	0.3836	0.1663	0.4150	0.241	0.193	0.466	49.15	0.650	0.605	1182	1220	-0.829754	0.055738
Dsuz	DS10_00009731	0.2584	0.3675	0.1798	0.4142	0.229	0.149	0.439	50.78	0.634	0.596	1230	1269	-0.863909	0.057526
Dtak	DT10_00006390	0.2505	0.3921	0.1770	0.4124	0.238	0.185	0.466	50.33	0.648	0.597	1186	1224	-0.907598	0.058824
Dmel	FBpp0081908	0.3019	0.3368	0.2273	0.3571	0.214	0.096	0.406	56.48	0.561	0.564	1218	1256	-0.896417	0.058121
Dmel	FBpp0070964	0.2562	0.4545	0.1649	0.3956	0.247	0.186	0.486	56.48	0.659	0.562	138	149	-0.123490	0.107383
Dbia	DB10_00004557	0.1157	0.5950	0.0510	0.5106	0.315	0.424	0.633	37.41	0.863	0.636	139	150	-0.316000	0.113333
Dsuz	DS10_00004285	0.2049	0.4836	0.1458	0.4565	0.279	0.279	0.543	46.30	0.721	0.578	140	150	-0.244000	0.113333
Dtak	DT10_00004493	0.1417	0.5583	0.0947	0.4835	0.297	0.378	0.606	45.49	0.810	0.614	137	146	-0.204110	0.102740
Dsuz	DS10_00002690	0.2652	0.3923	0.2381	0.4082	0.265	0.204	0.489	44.43	0.598	0.461	219	227	0.128634	0.079295
Dbia	DB10_00008086	0.2044	0.4586	0.1964	0.4490	0.272	0.332	0.571	49.32	0.680	0.489	219	227	0.117621	0.079295
Dtak	DT10_00001823	0.2652	0.4199	0.2619	0.3469	0.253	0.211	0.493	59.91	0.580	0.458	219	227	0.117621	0.079295
Dmel	FBpp0072098	0.1749	0.5246	0.1834	0.4178	0.265	0.329	0.568	49.38	0.714	0.499	220	227	0.115859	0.079295
Dbia	DB10_00011104	0.2318	0.4048	0.2407	0.3381	0.240	0.158	0.440	56.23	0.606	0.554	350	362	-0.575414	0.027624
Dsuz	DS10_00008550	0.2400	0.3855	0.2400	0.3577	0.230	0.142	0.432	58.90	0.601	0.553	331	340	-0.593235	0.032353
Dtak	DT10_00005606	0.2432	0.3682	0.2433	0.3649	0.236	0.150	0.436	54.63	0.595	0.552	358	366	-0.644536	0.032787
Dmel	FBpp0288762	0.2784	0.3333	0.3603	0.2393	0.196	-0.015	0.327	57.92	0.466	0.499	352	360	-0.578889	0.033333
Dmel	FBpp0079395	0.3111	0.3778	0.3061	0.4091	0.260	0.085	0.438	61.00	0.547	0.454	64	72	-0.995834	0.055556
Dbia	DB10_00005677	0.3103	0.3448	0.3333	0.3548	0.202	0.086	0.415	61.00	0.512	0.464	41	46	-1.086957	0.043478
Dsuz	DS10_00005977	0.2273	0.5682	0.2619	0.2059	0.303	0.248	0.509	35.37	0.604	0.494	53	58	-0.598276	0.051724
Dtak	DT10_00004340	0.2414	0.3448	0.3750	0.3333	0.205	0.120	0.436	61.00	0.513	0.470	39	44	-0.854545	0.045455
Dbia	DB10_00005676	0.1591	0.4318	0.2155	0.5351	0.251	0.254	0.537	43.83	0.720	0.552	164	172	-1.207558	0.116279
Dsuz	DS10_00005978	0.1786	0.4000	0.2302	0.5203	0.241	0.209	0.506	49.17	0.690	0.539	174	183	-1.190710	0.109290
Dtak	DT10_00004339	0.1971	0.4279	0.2376	0.4247	0.247	0.204	0.494	49.64	0.654	0.517	257	268	-0.694403	0.082090
Dmel	FBpp0303054	0.1094	0.4844	0.1250	0.6000	0.245	0.404	0.628	33.94	0.821	0.571	78	84	-0.832143	0.190476
Dsuz	DS10_00002695	0.2712	0.3390	0.3103	0.3800	0.211	0.075	0.411	55.37	0.534	0.482	73	76	-0.292105	0.065789
Dbia	DB10_00008081	0.2203	0.4407	0.2414	0.4000	0.217	0.161	0.466	51.50	0.630	0.513	73	76	-0.292105	0.065789
Dtak	DT10_00001818	0.2373	0.3898	0.2759	0.4000	0.196	0.140	0.452	61.00	0.589	0.504	73	76	-0.292105	0.065789
Dmel	FBpp0072103	0.1864	0.4068	0.2241	0.5000	0.270	0.290	0.548	50.35	0.671	0.526	73	76	-0.292105	0.065789
Dbia	DB10_00006556	0.2404	0.3693	0.2342	0.3974	0.213	0.157	0.453	58.71	0.612	0.523	369	383	-0.464230	0.033943
Dsuz	DS10_00005144	0.2107	0.3976	0.2543	0.3823	0.217	0.173	0.463	55.47	0.618	0.514	419	438	-0.233562	0.050228
Dtak	DT10_00008373	0.2140	0.3860	0.1935	0.4403	0.221	0.240	0.503	54.93	0.664	0.544	360	369	-0.579133	0.037940
Dmel	FBpp0087898	0.2469	0.3302	0.2840	0.3719	0.201	0.098	0.415	59.62	0.562	0.512	402	417	-0.527818	0.043165
Dmel	FBpp0086253	0.2981	0.3910	0.2500	0.3636	0.229	0.189	0.492	52.76	0.573	0.533	415	436	-1.361468	0.082569
Dbia	DB10_00007879	0.2409	0.4719	0.1373	0.4520	0.209	0.386	0.618	45.81	0.708	0.592	408	426	-1.356573	0.079812
Dsuz	DS10_00000550	0.3226	0.3903	0.2143	0.3754	0.221	0.225	0.518	53.52	0.586	0.543	415	435	-1.408736	0.082759
Dtak	DT10_00008195	0.2677	0.3645	0.2202	0.4427	0.189	0.186	0.494	54.83	0.620	0.564	413	427	-1.423888	0.079625
Dsuz	DS10_00002694	0.2070	0.4737	0.1855	0.4781	0.261	0.313	0.570	48.08	0.699	0.535	365	372	-0.734409	0.069892
Dbia	DB10_00008082	0.1844	0.5177	0.1741	0.4634	0.286	0.342	0.588	45.53	0.724	0.544	359	368	-0.680435	0.070652
Dtak	DT10_00001819	0.1944	0.5139	0.1569	0.4661	0.278	0.383	0.613	43.99	0.728	0.551	364	372	-0.659409	0.069892
Dmel	FBpp0072074	0.1601	0.5623	0.1624	0.4494	0.295	0.409	0.628	44.82	0.751	0.551	358	368	-0.729076	0.073370
Dtak	DT10_00006584	0.1790	0.4934	0.0717	0.5491	0.284	0.527	0.704	38.33	0.803	0.603	294	304	-0.705921	0.082237
Dbia	DB10_00001619	0.1810	0.4871	0.1125	0.5202	0.311	0.501	0.688	36.79	0.768	0.590	298	308	-0.743506	0.081169
Dsuz	DS10_00011102	0.2103	0.4335	0.1488	0.4956	0.309	0.428	0.642	40.55	0.716	0.576	299	309	-0.735922	0.080906
Dmel	FBpp0081384	0.2696	0.3565	0.1532	0.5251	0.272	0.304	0.566	45.31	0.668	0.546	295	306	-0.683660	0.081699
Dtak	DT10_00008191	0.1179	0.5393	0.1022	0.4844	0.305	0.517	0.688	36.15	0.818	0.615	336	356	-0.122191	0.073034
Dbia	DB10_00007812	0.1718	0.5000	0.1460	0.4209	0.280	0.419	0.626	42.54	0.738	0.593	390	410	-0.163902	0.070732
Dsuz	DS10_00000623	0.1935	0.4731	0.1273	0.4457	0.304	0.433	0.634	41.53	0.735	0.590	336	356	-0.132585	0.073034
Dmel	FBpp0087607	0.1720	0.4337	0.1618	0.4805	0.295	0.357	0.586	45.73	0.726	0.585	336	356	-0.133146	0.070225
Dtak	DT10_00008190	0.2348	0.3565	0.2281	0.3981	0.180	0.140	0.430	61.00	0.607	0.531	135	142	0.327465	0.098592
Dbia	DB10_00007811	0.2456	0.3860	0.2522	0.3333	0.192	0.140	0.430	59.54	0.578	0.523	135	142	0.364789	0.105634
Dsuz	DS10_00000624	0.1897	0.4310	0.2212	0.3800	0.182	0.207	0.474	56.45	0.652	0.540	135	142	0.393662	0.105634
Dmel	FBpp0087624	0.2373	0.3983	0.1964	0.3800	0.237	0.206	0.474	58.94	0.630	0.549	135	142	0.365493	0.105634
Dbia	DB10_00005772	0.1189	0.5419	0.0547	0.5478	0.276	0.439	0.633	36.02	0.860	0.667	559	575	-0.873739	0.040000
Dsuz	DS10_00006638	0.2031	0.4607	0.1196	0.4838	0.269	0.326	0.560	41.97	0.742	0.624	566	582	-0.888660	0.039519
Dtak	DT10_00003389	0.2904	0.3770	0.1372	0.4499	0.290	0.232	0.499	45.05	0.652	0.588	515	531	-0.682863	0.045198
Dmel	FBpp0074028	0.2556	0.4305	0.1548	0.4341	0.281	0.264	0.523	45.65	0.674	0.604	549	568	-0.928697	0.040493
Dbia	DB10_00005773	0.1838	0.4543	0.1165	0.4964	0.262	0.315	0.552	40.86	0.756	0.644	1269	1295	-0.913050	0.029344
Dsuz	DS10_00006639	0.2425	0.3913	0.1788	0.4348	0.227	0.196	0.473	46.28	0.657	0.609	1225	1250	-0.893200	0.030400
Dtak	DT10_00003387	0.2963	0.3262	0.2271	0.3972	0.211	0.090	0.402	51.95	0.573	0.567	1249	1277	-0.874080	0.028974
Dmel	FBpp0074029	0.2803	0.3529	0.2074	0.4110	0.225	0.113	0.420	50.86	0.604	0.577	1282	1311	-0.853852	0.030511
Dtak	DT10_00001316	0.1656	0.6258	0.1154	0.6000	0.319	0.539	0.728	33.92	0.815	0.567	276	282	-1.960638	0.056738
Dbia	DB10_00009921	0.0723	0.7048	0.0810	0.6329	0.343	0.648	0.791	34.51	0.895	0.599	277	282	-1.952127	0.049645
Dsuz	DS10_00006300	0.0926	0.7037	0.0865	0.6293	0.379	0.625	0.779	30.02	0.880	0.591	276	282	-1.975887	0.056738
Dmel	FBpp0271953	0.2012	0.5915	0.1643	0.5517	0.366	0.431	0.663	51.50	0.757	0.548	276	282	-1.937589	0.056738
Dtak	DT10_00006586	0.2500	0.4028	0.1333	0.4600	0.232	0.251	0.500	50.20	0.667	0.509	156	169	0.932544	0.189349
Dbia	DB10_00006368	0.2083	0.4444	0.1311	0.4510	0.293	0.359	0.571	43.58	0.705	0.527	156	169	0.913018	0.183432
Dsuz	DS10_00009982	0.2431	0.4306	0.1148	0.4412	0.256	0.282	0.519	49.25	0.686	0.515	156	169	0.948521	0.183432
Dmel	FBpp0082937	0.2500	0.3819	0.1707	0.4231	0.198	0.198	0.462	47.36	0.635	0.507	156	169	0.888757	0.189349
Dsuz	DS10_00000949	0.1441	0.5508	0.2054	0.4653	0.306	0.396	0.625	45.20	0.737	0.541	152	156	-0.688462	0.070513
Dbia	DB10_00005375	0.1620	0.5000	0.2143	0.4762	0.306	0.348	0.592	38.31	0.712	0.526	184	190	-0.617368	0.068421
Dtak	DT10_00002059	0.1176	0.5462	0.1909	0.5253	0.325	0.415	0.638	38.20	0.770	0.547	152	156	-0.704487	0.070513
Dmel	FBpp0080827	0.2000	0.4750	0.1927	0.5102	0.280	0.330	0.586	49.79	0.704	0.530	152	156	-0.690385	0.070513
Dsuz	DS10_00007324	0.2561	0.4472	0.1945	0.4003	0.295	0.297	0.561	49.04	0.645	0.536	889	924	-0.436147	0.124459
Dbia	DB10_00008354	0.2052	0.5122	0.1551	0.4213	0.304	0.384	0.615	44.84	0.716	0.564	886	922	-0.427874	0.122560
Dtak	DT10_00000025	0.2086	0.5222	0.0768	0.4812	0.317	0.444	0.652	38.46	0.769	0.588	887	925	-0.446595	0.125405
Dmel	FBpp0070057	0.2336	0.4711	0.1620	0.4234	0.306	0.343	0.590	47.40	0.685	0.554	887	924	-0.423701	0.125541
Dtak	DT10_00006580	0.4024	0.2480	0.4843	0.2081	0.186	-0.197	0.256	52.14	0.330	0.360	309	318	-0.544969	0.106918
Dbia	DB10_00001622	0.3496	0.2788	0.4279	0.2822	0.182	-0.047	0.350	53.95	0.408	0.398	294	303	-0.535974	0.102310
Dsuz	DS10_00011106	0.4044	0.2353	0.5000	0.2266	0.233	-0.167	0.286	50.21	0.330	0.368	185	194	-0.617010	0.092784
Dmel	FBpp0300170	0.3261	0.2826	0.4292	0.2967	0.206	-0.120	0.301	57.93	0.421	0.398	302	313	-0.311182	0.086262
Dmel	FBpp0074236	0.1157	0.5413	0.1208	0.5054	0.258	0.460	0.651	40.46	0.809	0.586	278	290	0.006552	0.141379
Dbia	DB10_00004721	0.0370	0.6543	0.0631	0.5243	0.331	0.655	0.777	30.79	0.921	0.630	278	290	-0.007931	0.141379
Dsuz	DS10_00004000	0.1193	0.5679	0.1165	0.4703	0.292	0.504	0.680	37.38	0.809	0.593	278	290	0.003793	0.141379
Dtak	DT10_00004543	0.1116	0.5702	0.1111	0.4839	0.267	0.477	0.662	38.62	0.820	0.595	278	290	-0.004483	0.141379
Dtak	DT10_00009077	0.1807	0.4525	0.1298	0.4745	0.240	0.299	0.535	43.15	0.744	0.586	893	915	-0.642295	0.044809
Dbia	DB10_00003110	0.1856	0.4606	0.1496	0.4348	0.246	0.286	0.525	44.67	0.722	0.578	889	910	-0.604066	0.045055
Dsuz	DS10_00003301	0.2084	0.4511	0.1530	0.4190	0.242	0.268	0.514	45.89	0.701	0.571	935	957	-0.592268	0.043887
Dmel	FBpp0077980	0.2303	0.4062	0.1910	0.4028	0.228	0.210	0.476	49.45	0.651	0.557	1020	1049	-0.512488	0.050524
Dtak	DT10_00001313	0.1572	0.5066	0.1684	0.4162	0.271	0.358	0.578	39.34	0.734	0.569	256	264	0.339394	0.128788
Dbia	DB10_00009924	0.1688	0.4762	0.1968	0.4094	0.264	0.321	0.555	40.92	0.703	0.558	256	264	0.345455	0.128788
Dsuz	DS10_00006304	0.1688	0.4892	0.1947	0.3873	0.262	0.336	0.562	40.46	0.703	0.559	256	264	0.343182	0.128788
Dmel	FBpp0080011	0.1783	0.4913	0.1728	0.3966	0.314	0.348	0.570	44.27	0.711	0.564	256	264	0.336364	0.128788
Dmel	FBpp0303042	0.1887	0.3850	0.2562	0.4094	0.206	0.190	0.475	51.60	0.636	0.576	793	818	-0.773472	0.055012
Dtak	DT10_00009705	0.1882	0.4368	0.1880	0.4070	0.213	0.264	0.512	49.31	0.688	0.599	843	860	-0.673023	0.067442
Dbia	DB10_00008034	0.1604	0.4742	0.1657	0.4207	0.225	0.314	0.546	45.87	0.730	0.614	851	868	-0.665783	0.065668
Dsuz	DS10_00003517	0.1692	0.4626	0.1859	0.4137	0.209	0.295	0.536	46.84	0.708	0.597	795	813	-0.706519	0.071341
Dmel	FBpp0289670	0.2542	0.2373	0.3036	0.4423	0.191	0.094	0.391	50.31	0.536	0.502	69	77	0.103896	0.142857
Dbia	DB10_00001614	0.2063	0.4127	0.2034	0.4231	0.255	0.275	0.521	43.38	0.658	0.530	73	78	0.171795	0.166667
Dsuz	DS10_00011098	0.2857	0.3651	0.1833	0.3962	0.245	0.150	0.438	54.18	0.603	0.521	73	78	0.296154	0.153846
Dtak	DT10_00002968	0.2000	0.4000	0.2131	0.4182	0.228	0.221	0.472	53.57	0.653	0.521	72	78	0.238462	0.141026
Dsuz	DS10_00012734	0.1418	0.5149	0.0862	0.4907	0.252	0.471	0.662	39.21	0.808	0.590	151	165	0.409697	0.127273
Dbia	DB10_00001480	0.0833	0.6136	0.0256	0.5000	0.296	0.622	0.762	34.19	0.907	0.624	151	165	0.403636	0.127273
Dtak	DT10_00000297	0.1618	0.4926	0.1111	0.4545	0.230	0.427	0.632	46.59	0.770	0.580	152	165	0.453939	0.127273
Dmel	FBpp0083634	0.2628	0.3504	0.1803	0.4211	0.194	0.180	0.474	53.77	0.623	0.523	154	165	0.510909	0.121212
Dtak	DT10_00009078	0.2869	0.3115	0.3305	0.3496	0.164	0.050	0.391	53.62	0.510	0.514	304	321	-0.693458	0.087227
Dbia	DB10_00003109	0.2960	0.3587	0.2543	0.3744	0.199	0.150	0.453	59.40	0.564	0.518	287	303	-0.626403	0.092409
Dsuz	DS10_00003302	0.3202	0.3114	0.3484	0.3117	0.192	0.044	0.395	57.78	0.475	0.478	301	320	-0.580938	0.081250
Dmel	FBpp0077981	0.3598	0.3171	0.3396	0.3052	0.204	0.044	0.396	61.00	0.467	0.481	212	223	-0.948431	0.094170
