Gene,locus,Female Expression,Male Expression,Sex_Bias
DS10_00012875,scaffold677:35247-36753,1.19,19.89,male
DS10_00012876,scaffold677:37036-37417,1.93,30.13,male
DS10_00012886,scaffold687:43528-50012,0.18,18.10,male
DS10_00012896,scaffold705:4050-6369,17.72,163.39,male
DS10_00012913,scaffold722:46066-49669,0.02,19.08,male
DS10_00012918,scaffold955:46501-47476,0.61,108.92,male
DS10_00012926,scaffold724:21745-23307,0.07,14.52,male
DS10_00012933,scaffold724:39197-40310,4.63,29.71,male
DS10_00012942,scaffold729:30252-32755,0.62,26.05,male
DS10_00012949,scaffold849:9062-11927,0.00,120.78,male
DS10_00012972,scaffold763:20057-33894,0.16,3.20,male
DS10_00012973,scaffold763:20057-33894,0.51,4.33,male
DS10_00012974,scaffold763:34534-35713,0.47,6.07,male
DS10_00012980,scaffold769:12520-13465,0.04,35.48,male
DS10_00012988,scaffold1377:42551-45173,9.22,1.12,female
DS10_00013022,scaffold815:25338-32410,4.76,35.15,male
DS10_00013032,scaffold830:25209-39938,0.00,4.57,male
DS10_00013048,scaffold2221:37881-40458,0.04,4.41,male
DS10_00013098,scaffold949:23337-24267,1.88,59.94,male
DS10_00013099,scaffold949:24394-25969,0.08,55.54,male
DS10_00013104,scaffold957:9361-10390,0.00,25.63,male
DS10_00013105,scaffold957:12042-12900,0.00,31.19,male
DS10_00013137,scaffold1017:31678-32580,0.02,61.91,male
DS10_00013140,scaffold1760:8827-12907,2.48,0.03,female
DS10_00013168,scaffold1078:16475-16862,0.22,60.06,male
DS10_00013176,scaffold1104:6079-6587,0.67,280.96,male
DS10_00013223,scaffold3067:0-5244,0.10,40.55,male
DS10_00013231,scaffold1258:12797-15866,0.00,30.93,male
DS10_00013242,scaffold1447:18173-19325,0.00,28.73,male
DS10_00013276,scaffold1556:10-1090,0.06,9.41,male
DS10_00013305,scaffold1675:69-4434,0.06,8.16,male
DS10_00013308,scaffold1674:206-1427,0.00,85.44,male
DS10_00013310,scaffold1674:5083-6519,0.00,31.85,male
DS10_00013311,scaffold1680:1505-3930,0.21,213.76,male
DS10_00013321,scaffold1794:7066-8167,0.04,65.05,male
DS10_00013328,scaffold1812:6077-7264,0.04,35.13,male
DS10_00013353,scaffold2145:5859-6462,0.00,77.46,male
DS10_00013357,scaffold2209:9609-10086,0.39,26.52,male
DS10_00013411,scaffold3377:48-4422,0.24,4.84,male
DS10_00013413,scaffold3315:3817-4960,0.07,11.98,male
DS10_00013423,scaffold3454:2-1563,0.00,49.28,male
DS10_00013426,scaffold3474:1985-3173,0.86,10.30,male
DS10_00013434,scaffold3680:660-2317,1.94,181.01,male
DS10_00013452,scaffold3819:27-955,0.25,12.31,male
DS10_00013473,scaffold4415:24-2388,0.34,30.35,male
DS10_00013476,scaffold4528:1763-2301,0.18,43.49,male
DS10_00013487,scaffold5051:1397-1847,0.00,133.65,male
DS10_00013498,scaffold5800:280-604,174.07,0.69,female
DS10_00013500,scaffold6090:341-2044,33.32,116.29,male
DS10_00013525,scaffold6382:0-1596,0.06,5.63,male
DS10_00013532,scaffold6530:1014-1173,1.13,58.68,male
DS10_00013540,scaffold6719:606-1038,90.22,17.25,female
